SMILES,Activity_type,Activity_value,Activity_unit
C[C@@](C[C@H]1CC(=NO1)c1ccc(c(F)c1)-c1ccc(CO)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(c(F)c1)-c1ccc(CCO)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
CCc1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1c(F)cncc1F)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)C#CC1CCOCC1)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(cc1)C(O)CCO)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccc(cc1)[C@H](O)CO)(C(=O)NO)S(C)(=O)=O,IC50,0.00100,nM
CC#Cc1ccc(cc1F)C1=NOC(CC(C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00200,nM
[H][C@@]1(C[C@]([H])(C1)C(C)(C)O)C#Cc1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00200,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(CCCCF)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00200,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(CCCF)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00200,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-c1ccnc(c1)C(F)(F)F)(C(=O)NO)S(C)(=O)=O,IC50,0.00200,nM
Cn1ccc(cc1=O)-c1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00200,nM
Cn1cc(ccc1=O)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00200,nM
CC(C)(O)c1cc(ccn1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00200,nM
Cc1cc(cc(C)n1)-c1ccc(cc1F)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00400,nM
CC(CC1CC(=NO1)c1ccc(cn1)C#CC1CC1)(C(=O)NO)S(C)(=O)=O,IC50,0.00400,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(c(F)c1)-c1ccc(CO)nc1)(C(=O)NO)S(C)(=O)=O,IC50,0.00500,nM
C[C@@](C[C@H]1CC(=NO1)c1ccc(cc1)-n1nccn1)(C(=O)NO)S(C)(=O)=O,IC50,0.00500,nM
CCc1cc(ccn1)-c1ccc(cc1)C1=NO[C@@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.00600,nM
CC(CC1CC(=NO1)c1ccc(cc1)C1CC1)(C(=O)NO)S(C)(=O)=O,IC50,0.00700,nM
CC#Cc1ccc(nc1)C1=NOC(CC(C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.0170,nM
CC#CCOc1ccc(cc1)C1=NOC(CC(C)(C(=O)NO)S(C)(=O)=O)C1,IC50,0.0240,nM
C[C@@](O)([C@H](NC(=O)c1ccc(cc1)C#CC#Cc1ccc(N)cc1)C(=O)NO)c1c[nH]nn1,KI,0.0240,nM
C[C@](c1ccc(cc1)O)([C@@H](C(=O)NO)NC(=O)c2ccc(cc2)C#CC#Cc3ccc(cc3)N)O,KI,0.0240,nM
C[C@@](C[C@H]1CN(C(=O)O1)c1ccc(cc1)-c1ccccc1)(C(=O)NO)S(C)(=O)=O,KD,0.0260,nM
CC(CCc1ccc(cc1)-c1ccc2OCOc2c1)(C(=O)NO)S(C)(=O)=O,IC50,0.0303,nM
C[C@@](CCc1ccc(cc1)-c1cc2ccccc2[nH]1)(C(=O)NO)S(C)(=O)=O,IC50,0.0340,nM
COc1ccc(c(F)c1)-c1cc(=O)n(CC[C@](C)(C(=O)NO)S(C)(=O)=O)cc1F,IC50,0.0500,nM
CCCc1cc(cc(c1OC)OC)C2=N[C@H](CO2)C(=O)NO,KI,0.0530,nM
CC(CCc1ccc(cc1F)-c1ccc(O)cc1)(C(=O)NO)S(C)(=O)=O,IC50,0.0592,nM
CC#Cc1ccc(cc1)N1C[C@H](C[C@](C)(C(=O)NO)S(C)(=O)=O)OC1=O,KD,0.0630,nM
C[C@@](C[C@H]1CN(C(=O)O1)c2ccc(cc2)C#CC3CC3)(C(=O)NO)S(=O)(=O)C,KD,0.0650,nM
